store_id,Total_Revenue
SM-20320,25043.05
TC-20980,19017.847999999998
RB-19360,15117.338999999998
TA-21385,14595.62
AB-10105,14355.610999999999
SC-20095,14142.333999999997
KL-16645,14071.916999999998
HL-15040,12873.297999999999
SE-20110,12209.438000000004
CC-12370,12129.072
TS-21370,11885.871000000001
GT-14710,11820.119999999999
BM-11140,11609.9
SV-20365,11420.645999999999
CJ-12010,11079.742
CL-12565,10880.546
ME-17320,10635.918000000001
KF-16285,10604.266
BS-11365,10501.652999999998
EH-13765,10005.98
JL-15835,9403.003
GT-14635,9351.212
HW-14935,9300.253999999999
TB-21400,9012.742
PF-19120,8980.496000000001
CM-12385,8954.019999999999
JD-16150,8828.0305
JE-15715,8672.163
LA-16780,8631.521999999999
DR-12940,8350.868
NF-18385,8322.826000000001
KD-16270,8282.358
NC-18535,8241.739
KD-16495,8181.255999999999
PK-19075,8158.6539999999995
HM-14860,8148.844799999999
SB-20290,8057.8910000000005
ZC-21910,8021.135
JH-15985,7954.998
NP-18700,7903.182500000001
AH-10690,7888.294
JE-15610,7754.976
AB-10060,7732.669999999999
JW-15220,7721.714
JM-15865,7625.076000000001
RW-19540,7397.401
LC-16885,7396.773999999999
PO-18850,7367.334199999999
BM-11650,7283.817000000001
NW-18400,7234.013999999999
Dp-13240,7198.761
PP-18955,7075.92
RH-19510,6962.14
MS-17365,6848.3099999999995
PS-19045,6843.633999999999
BB-11545,6765.728000000001
FH-14365,6683.659999999998
YS-21880,6654.503999999999
AR-10540,6608.448
GK-14620,6497.27
JA-15970,6475.474
NM-18445,6459.344
JD-15895,6456.456
SB-20185,6410.996000000001
JE-15745,6400.455
JG-15160,6366.392
CM-12655,6339.5576
VD-21670,6283.353999999999
MJ-17740,6282.226000000001
BH-11710,6255.351
DM-13015,6247.371999999999
DR-12880,6247.206
RL-19615,6234.91
VW-21775,6112.702000000001
QJ-19255,6108.338
AD-10180,6101.0
GM-14695,6049.966
CB-12025,6028.227000000001
WB-21850,6024.810000000001
RM-19675,5967.736
KH-16510,5952.858999999999
SD-20485,5920.258
BF-11170,5907.972
SC-20380,5894.183999999999
CP-12340,5888.275000000001
KH-16690,5867.859
CS-12505,5690.055
BD-11320,5672.170999999999
AM-10705,5653.861999999999
RB-19795,5633.316000000001
KM-16375,5609.746000000001
AA-10315,5563.56
SM-20950,5563.392000000001
NP-18325,5529.620000000001
AC-10450,5527.846
MH-18115,5503.093
DP-13390,5480.723999999999
EP-13915,5478.060800000001
YC-21895,5454.35
SP-20620,5440.3189999999995
LW-17215,5420.514
TS-21205,5371.09
TT-21460,5364.807999999999
MW-18220,5341.9
TP-21415,5329.004800000001
DW-13480,5256.848
MW-18235,5253.876
HR-14830,5248.787
SC-20725,5226.21
TW-21025,5164.626
CP-12085,5164.102
LR-16915,5142.892
RP-19390,5142.14
MP-18175,5087.92
IL-15100,5040.736
LB-16795,4985.676
DH-13075,4932.871999999999
IM-15070,4930.474
TT-21070,4915.602
KM-16720,4909.472
PO-19180,4893.043
HK-14890,4877.784
AJ-10780,4867.344
AH-10210,4805.344000000001
RA-19915,4781.367
JK-15730,4769.9
JK-15640,4752.441999999999
BW-11110,4750.357999999999
TB-21520,4730.628
SA-20830,4708.5255
ES-14080,4648.516
KT-16480,4642.088400000001
SC-20050,4624.572
DB-13270,4621.656999999999
GB-14575,4594.3279999999995
RB-19465,4556.566000000001
AR-10825,4523.336
AG-10900,4510.7970000000005
SC-20770,4492.657
KL-16555,4483.784
LC-16930,4481.162
AA-10645,4455.895
TP-21130,4454.0560000000005
EM-14140,4438.332
MC-17425,4432.138
KW-16435,4416.5199999999995
BD-11500,4408.297
AJ-10795,4391.491
AI-10855,4375.785999999999
SC-20230,4371.958
GZ-14470,4355.15
SR-20740,4345.8859999999995
EB-13840,4344.508
ND-18370,4281.388999999999
MA-17560,4280.620999999999
JK-15205,4278.17
DB-13060,4265.294
TC-21295,4261.852
AS-10225,4249.0
TH-21550,4229.556
BE-11335,4204.6759999999995
JF-15565,4198.331999999999
FH-14275,4190.704000000001
MY-18295,4134.396
DK-13225,4125.844
CB-12535,4123.5154999999995
PM-19135,4115.662
SV-20785,4105.305
DM-13345,4074.4719999999998
FP-14320,4046.7460000000005
SP-20860,4028.5880000000006
SP-20920,3990.689
CM-12715,3984.4523999999997
MP-17965,3983.6420000000003
SC-20305,3971.0640000000003
DK-12895,3943.0400000000004
LF-17185,3930.5090000000005
GH-14425,3925.742
GA-14515,3919.7760000000003
KH-16630,3918.9660000000003
DB-13555,3908.8028000000004
KC-16540,3908.2619999999997
CC-12220,3902.522
NP-18670,3896.642
PW-19240,3878.3149999999996
JS-15880,3868.0199999999995
FC-14335,3865.846
RA-19885,3832.3140000000003
RS-19765,3831.93
AT-10735,3831.864
OT-18730,3818.6240000000003
RO-19780,3815.478
MC-17845,3805.714
MM-17920,3794.08
CA-11965,3789.7228000000005
MG-17650,3785.276
SJ-20125,3777.88
MD-17350,3766.382
JK-15625,3760.0280000000002
JK-16090,3747.6680000000006
RD-19480,3743.0299999999997
FM-14290,3736.1980000000003
SC-20260,3729.7929999999997
HG-15025,3690.2840000000006
LP-17095,3653.3990000000003
CS-12400,3651.8585000000003
RH-19495,3621.3759999999997
BP-11185,3610.2929999999997
SZ-20035,3592.433
GM-14440,3582.8199999999997
TB-21175,3579.0240000000003
JP-15520,3572.9439999999995
DL-13495,3539.322
ES-14020,3510.4579999999996
RW-19690,3495.646
AG-10675,3489.0396
ED-13885,3484.9200000000005
PW-19030,3454.916
EB-13705,3448.274
SF-20200,3422.786
FC-14245,3414.678
SG-20080,3406.581
BS-11380,3379.13
TS-21655,3368.093999999999
SC-20020,3362.963599999999
DJ-13630,3356.398
DC-12850,3336.1680000000006
AP-10915,3323.5560000000005
DK-13375,3318.486
KH-16330,3312.864
RF-19345,3309.1499999999996
SF-20965,3306.871
RR-19525,3302.2619999999997
BD-11605,3288.4710000000005
BS-11665,3288.11
DV-13465,3285.987
RW-19630,3273.6499999999996
DL-12925,3272.2
AS-10090,3255.3099999999995
JO-15145,3254.949
DK-12835,3253.5340000000006
AH-10075,3250.337
LC-16960,3246.626
CT-11995,3241.898
SR-20425,3233.481
LW-16990,3230.308
RS-19420,3221.2900000000004
AS-10285,3212.272
MP-17470,3206.1319999999996
CS-12355,3202.1620000000003
BT-11680,3196.7519999999995
DG-13300,3195.818
VP-21760,3193.606
HG-14965,3184.174
EB-13750,3166.8819999999996
GM-14680,3163.6279999999997
CK-12205,3154.855
KB-16240,3152.615
JM-15250,3145.374
JL-15505,3142.746
MS-17770,3138.582
RD-19900,3133.9240000000004
TN-21040,3130.221
SN-20710,3127.9592
SG-20605,3116.976
KH-16360,3100.612
PG-18820,3086.907
GM-14455,3078.6240000000003
EB-14110,3071.126
TG-21310,3058.3720000000003
KT-16465,3057.1
SS-20410,3056.807
SL-20155,3053.012
CA-12775,3041.566
AS-10045,3035.032
CS-11950,3027.755
EH-14125,3013.153
LS-16975,2988.674
MH-18025,2984.948
FA-14230,2984.054
NS-18640,2964.8230000000003
TM-21010,2953.986
TH-21115,2942.772
CK-12325,2939.6059999999998
LT-17110,2936.2520000000004
BC-11125,2933.6760000000004
JK-16120,2932.484
DB-13120,2931.7180000000003
SW-20455,2921.544
ML-17410,2921.5
RD-19585,2912.8940000000002
CY-12745,2900.026
ND-18460,2893.455
MG-18145,2890.591
MT-17815,2890.139
DS-13180,2881.8127999999997
PV-18985,2876.0460000000003
CC-12430,2870.05
BF-11020,2865.786
CC-12685,2854.115
AW-10930,2851.444
IM-15055,2848.36
LS-16945,2845.27
DB-12970,2839.2272
JM-16195,2833.9260000000004
CV-12295,2830.628
GH-14410,2807.707
TS-21610,2801.8840000000005
BG-11035,2798.9480000000003
TB-21625,2797.6679999999997
RD-19660,2786.632
