order_week,total_orders,total_quantity_sold,total_revenue
2024-01,206,633.0,138998.07
2024-02,203,610.0,114932.81
2024-03,198,637.0,132051.16
2024-04,195,532.0,103190.85
2024-05,183,546.0,118820.21
2024-06,176,559.0,111301.75
2024-07,200,629.0,130614.44
2024-08,210,634.0,133723.2
2024-09,225,691.0,128703.78
2024-10,209,654.0,142343.91
2024-11,191,553.0,100942.13
2024-12,221,634.0,106091.84
2024-13,219,664.0,121174.87
2024-14,207,626.0,129937.11
2024-15,237,694.0,127088.62
2024-16,199,663.0,128635.84
2024-17,203,644.0,118727.31
2024-18,198,561.0,115836.26
2024-19,211,620.0,120188.4
2024-20,202,673.0,136325.39
2024-21,206,612.0,118619.01
2024-22,205,613.0,120307.06
2024-23,197,596.0,135388.99
2024-24,196,580.0,102744.01
2024-25,224,695.0,137558.44
2024-26,233,699.0,139383.28
2024-27,205,645.0,124745.53
2024-28,224,690.0,143766.87
2024-29,207,631.0,123022.3
2024-30,217,640.0,123396.75
2024-31,209,638.0,141453.15
2024-32,202,597.0,130092.12
2024-33,191,605.0,109805.79
2024-34,208,600.0,107466.27
2024-35,210,644.0,118279.51
2024-36,187,536.0,97612.89
2024-37,211,634.0,132557.76
2024-38,213,623.0,137126.73
2024-39,196,611.0,116435.7
2024-40,206,607.0,125551.08
2024-41,209,667.0,134390.07
2024-42,189,561.0,108198.96
2024-43,208,654.0,124450.6
2024-44,212,632.0,102974.6
2024-45,194,584.0,120732.89
2024-46,194,575.0,111752.35
2024-47,213,630.0,125140.12
2024-48,198,564.0,119630.11
2024-49,244,791.0,160115.9
2024-50,199,582.0,122941.78
2024-51,187,607.0,122178.59
2024-52,190,598.0,115590.51
2024-53,36,92.0,21989.53
